Datetime,Water Level (m)
2023-09-03 06:00:00,0.547532
2023-09-03 07:00:00,0.46953294
2023-09-03 08:00:00,0.37755996
2023-09-03 09:00:00,0.29169855
2023-09-03 10:00:00,0.26510143
2023-09-03 11:00:00,0.3046703
2023-09-03 12:00:00,0.428014
2023-09-03 13:00:00,0.5755824
2023-09-03 14:00:00,0.73385435
2023-09-03 15:00:00,0.8766547
2023-09-03 16:00:00,0.95928633
2023-09-03 17:00:00,0.9585335
2023-09-03 18:00:00,0.8982974
2023-09-03 19:00:00,0.80795383
2023-09-03 20:00:00,0.70791084
2023-09-03 21:00:00,0.6086749
2023-09-03 22:00:00,0.53181475
2023-09-03 23:00:00,0.52343017
2023-09-04 00:00:00,0.5930989
2023-09-04 01:00:00,0.74219507
2023-09-04 02:00:00,0.9100667
2023-09-04 03:00:00,1.0746721
2023-09-04 04:00:00,1.1779412
2023-09-04 05:00:00,1.1873937
2023-09-04 06:00:00,1.1351588
2023-09-04 07:00:00,1.0460448
2023-09-04 08:00:00,0.9436074
2023-09-04 09:00:00,0.8425014
2023-09-04 10:00:00,0.7554225
2023-09-04 11:00:00,0.7233729
2023-09-04 12:00:00,0.7556461
2023-09-04 13:00:00,0.87196356
2023-09-04 14:00:00,1.030174
2023-09-04 15:00:00,1.19456
2023-09-04 16:00:00,1.3026167
2023-09-04 17:00:00,1.3179264
2023-09-04 18:00:00,1.2644887
2023-09-04 19:00:00,1.1735609
2023-09-04 20:00:00,1.0694035
2023-09-04 21:00:00,0.96616626
2023-09-04 22:00:00,0.8698465
2023-09-04 23:00:00,0.807769
2023-09-05 00:00:00,0.8099747
2023-09-05 01:00:00,0.8872566
2023-09-05 02:00:00,1.0402155
2023-09-05 03:00:00,1.2128052
2023-09-05 04:00:00,1.3579776
2023-09-05 05:00:00,1.4189757
2023-09-05 06:00:00,1.39313
2023-09-05 07:00:00,1.3143549
2023-09-05 08:00:00,1.2137657
2023-09-05 09:00:00,1.1091057
2023-09-05 10:00:00,1.0097123
2023-09-05 11:00:00,0.9322033
2023-09-05 12:00:00,0.9052089
2023-09-05 13:00:00,0.93408114
2023-09-05 14:00:00,1.0400019
2023-09-05 15:00:00,1.175738
2023-09-05 16:00:00,1.295491
2023-09-05 17:00:00,1.353234
2023-09-05 18:00:00,1.3312975
2023-09-05 19:00:00,1.2639233
2023-09-05 20:00:00,1.1735141
2023-09-05 21:00:00,1.077077
2023-09-05 22:00:00,0.9831493
2023-09-05 23:00:00,0.9030553
2023-09-06 00:00:00,0.8663362
2023-09-06 01:00:00,0.88464516
2023-09-06 02:00:00,0.9804677
2023-09-06 03:00:00,1.1287017
2023-09-06 04:00:00,1.2835172
2023-09-06 05:00:00,1.3955703
2023-09-06 06:00:00,1.4263213
2023-09-06 07:00:00,1.3852961
2023-09-06 08:00:00,1.3087271
2023-09-06 09:00:00,1.2182888
2023-09-06 10:00:00,1.125336
2023-09-06 11:00:00,1.0407742
2023-09-06 12:00:00,0.9809782
2023-09-06 13:00:00,0.96213865
2023-09-06 14:00:00,0.9875548
2023-09-06 15:00:00,1.0796317
2023-09-06 16:00:00,1.1896443
2023-09-06 17:00:00,1.2753047
2023-09-06 18:00:00,1.3048246
2023-09-06 19:00:00,1.2746553
2023-09-06 20:00:00,1.2116197
2023-09-06 21:00:00,1.1305932
2023-09-06 22:00:00,1.0480812
2023-09-06 23:00:00,0.970193
2023-09-07 00:00:00,0.91331494
2023-09-07 01:00:00,0.8958567
2023-09-07 02:00:00,0.9240687
2023-09-07 03:00:00,1.0265026
2023-09-07 04:00:00,1.1667625
2023-09-07 05:00:00,1.3096491
2023-09-07 06:00:00,1.4143493
2023-09-07 07:00:00,1.4528321
2023-09-07 08:00:00,1.4283067
2023-09-07 09:00:00,1.3678191
2023-09-07 10:00:00,1.2895547
2023-09-07 11:00:00,1.2099061
2023-09-07 12:00:00,1.1375089
2023-09-07 13:00:00,1.086222
2023-09-07 14:00:00,1.0646148
2023-09-07 15:00:00,1.0738149
2023-09-07 16:00:00,1.1291733
2023-09-07 17:00:00,1.2033542
2023-09-07 18:00:00,1.2623117
2023-09-07 19:00:00,1.2828469
2023-09-07 20:00:00,1.2611469
2023-09-07 21:00:00,1.2100929
2023-09-07 22:00:00,1.1444012
2023-09-07 23:00:00,1.077382
2023-09-08 00:00:00,1.0141691
2023-09-08 01:00:00,0.9686477
2023-09-08 02:00:00,0.9522712
2023-09-08 03:00:00,0.9689273
2023-09-08 04:00:00,1.0422902
2023-09-08 05:00:00,1.156577
2023-09-08 06:00:00,1.2774681
2023-09-08 07:00:00,1.3734996
2023-09-08 08:00:00,1.421442
2023-09-08 09:00:00,1.4112
2023-09-08 10:00:00,1.3639746
2023-09-08 11:00:00,1.297131
2023-09-08 12:00:00,1.2253036
2023-09-08 13:00:00,1.1536483
2023-09-08 14:00:00,1.0905191
2023-09-08 15:00:00,1.0383209
2023-09-08 16:00:00,1.001588
2023-09-08 17:00:00,0.98728245
2023-09-08 18:00:00,1.00457
2023-09-08 19:00:00,1.0450308
2023-09-08 20:00:00,1.0838193
2023-09-08 21:00:00,1.0985328
2023-09-08 22:00:00,1.0822073
2023-09-08 23:00:00,1.0464742
2023-09-09 00:00:00,1.0009295
2023-09-09 01:00:00,0.95284337
2023-09-09 02:00:00,0.9118822
2023-09-09 03:00:00,0.88792664
2023-09-09 04:00:00,0.8867537
2023-09-09 05:00:00,0.91715384
2023-09-09 06:00:00,0.99869937
